T,seed,n_states_A,n_states_B,n_nodepairs,all_lp_val,t_all_lp,gap_all_lp,fraclp_all_lp,comono_val,t_comono,gap_comono,fraclp_comono,monge_hybrid_val,t_monge_hybrid,gap_monge_hybrid,fraclp_monge_hybrid,dual_cert_val,t_dual_cert,gap_dual_cert,fraclp_dual_cert
2,0,18,18,225,0.14191058155300787,0.027619499000138603,0.0,1.0,0.14191058155300798,0.0032996959998854436,7.82339845609367e-14,0.0,0.1419105815530079,0.004936130000714911,1.9558496140234175e-14,0.0044444444444444444,0.14191058155300773,0.014221731000361615,-9.779248070117086e-14,0.0
2,1,20,21,271,0.18154403538805985,0.03125048300171329,0.0,1.0,0.18155891634044102,0.004134279000936658,0.008196883113983894,0.0,0.18154403538805983,0.0058699969995359425,-1.5288618850131826e-14,0.0036900369003690036,0.18154403538805966,0.020125024999288144,-1.0702033195092279e-13,0.0036900369003690036
2,2,20,19,271,0.16312129274442744,0.02982078300010471,0.0,1.0,0.1631226663708015,0.004188950000752811,0.0008420889455644731,0.0,0.1631212927444275,0.0057562559995858464,3.40305979049778e-14,0.0036900369003690036,0.16312129274442727,0.01828380900042248,-1.020917937149334e-13,0.0036900369003690036
2,3,20,20,241,0.16920330340044196,0.027170626000952325,0.0,1.0,0.16920330340044187,0.003772140000364743,-4.921105272384963e-14,0.0,0.169203303400442,0.005972781998934806,3.280736848256642e-14,0.004149377593360996,0.16920330340044176,0.018105335999280214,-1.1482578968898245e-13,0.0
2,4,20,20,289,0.1766711881988543,0.03456634100075462,0.0,1.0,0.17717839973731603,0.004481388999920455,0.28709352307679575,0.0,0.1766711881988543,0.006856006000816706,0.0,0.0034602076124567475,0.17667118819885436,0.022066997000365518,3.142060219166954e-14,0.0034602076124567475
5,0,22,21,1469,0.7203604596300671,0.1705144770003244,0.0,1.0,0.7225672508825196,0.02241565599979367,0.3063454167911661,0.0,0.7203604596300671,0.13553733299886517,0.0,0.6997957794417972,0.7203604596300669,0.1772402560000046,-3.0824096736106226e-14,0.39278420694349897
5,1,19,24,1429,0.6097775734315674,0.16477906899854133,0.0,1.0,0.61222707342676,0.022086996999860276,0.4017038510301188,0.0,0.6097775734315674,0.13451177299975825,0.0,0.7060881735479356,0.6097775734315677,0.17390057800002978,5.4621049034845424e-14,0.4086773967809657
5,2,20,20,1431,0.6795575791480795,0.16683329499937827,0.0,1.0,0.6829335088848517,0.02140842600056203,0.49678347212379775,0.0,0.6795575791480797,0.1328264379990287,3.267487726402747e-14,0.7064989517819706,0.6795575791480801,0.1618999670008634,9.802463179208241e-14,0.3480083857442348
5,3,22,21,1534,0.7007200426476833,0.17083855199962272,0.0,1.0,0.7029739395662687,0.02333488899967051,0.321654409950809,0.0,0.7007200426476834,0.14286117799929343,1.5844031240067844e-14,0.71251629726206,0.7007200426476837,0.22146264399998472,6.337612496027138e-14,0.5736636245110821
5,4,21,22,1494,0.7167990088373316,0.1665092570001434,0.0,1.0,0.7172858508715569,0.022879895999722066,0.06791890449388369,0.0,0.7167990088373317,0.13487235200045689,1.5488623881134682e-14,0.6907630522088354,0.7167990088373319,0.15071727000031387,4.646587164340405e-14,0.214190093708166
